NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
3,8,8,10,1,NON-STEM,750,4,95000,C#;JavaScript;Objective-C;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Memcached;Elasticsearch,Amazon Echo;Arduino;AWS;Linux;Mac OS;Salesforce;WordPress;Firebase,Django;Node.js;React,12,Male,White or of European descent,30,3
,3,4,11,3,NON-STEM,20000,10,140000,C;JavaScript;Lua;Objective-C;Python;Ruby;SQL;Swift;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;SQLite;Elasticsearch,iOS;Linux;Mac OS,,8,Male,Hispanic or Latino/Latina,30,4
,1,1,5,4,STEM,60,10,93000,C++;Java;Python;SQL;Bash/Shell,PostgreSQL,Linux,,12,Male,White or of European descent,30,3
1,1,1,8,1,STEM,300,10,110000,Groovy;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,PostgreSQL,AWS,Spring,8,Male,White or of European descent,30,4
,3,2,4,3,NON-STEM,300,1,80000,Python;SQL;HTML;CSS,PostgreSQL;Amazon Redshift,AWS;Mac OS;Salesforce,,8,Male,White or of European descent,30,3
1,1,2,5,3,STEM,750,19,120000,JavaScript;Python;HTML;CSS;Bash/Shell,Redis;PostgreSQL,ESP8266,Django,12,Male,White or of European descent,40,4
,1,1,7,3,STEM,750,1,65000,C#;Python;R;SQL;VBA;HTML;Bash/Shell,SQL Server,Windows Desktop or Server,,12,Male,White or of European descent,30,2
1,2,2,8,3,STEM,20000,7,79899,C#;JavaScript;Lua;SQL;VBA;Visual Basic 6;HTML;CSS,SQL Server;Oracle,Android;Windows Desktop or Server,.NET Core,12,Male,Black or of African descent,30,3
4,,4,14,4,STEM,20000,1,115000,C;C++;C#;Java;JavaScript;Lua;Matlab;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,"MySQL;PostgreSQL;Amazon DynamoDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)",,Hadoop;Node.js;TensorFlow;Torch/PyTorch,12,Non-Male,Other,21,4
,3,6,7,3,STEM,300,19,83000,CoffeeScript;Matlab;Python;R;Ruby;SQL;Bash/Shell,Redis;MySQL;PostgreSQL;SQLite;Memcached;Elasticsearch,Linux;Mac OS;Windows Desktop or Server,,12,Male,White or of European descent,40,3
2,2,2,7,4,STEM,5,4,71250,JavaScript;PHP;SQL;TypeScript;HTML;CSS;Bash/Shell,MySQL;MariaDB,Linux;Windows Desktop or Server,Angular;Node.js,12,Male,White or of European descent,30,2
1,,3,7,3,STEM,60,13,58000,C#;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,SQL Server;SQLite;Oracle,,.NET Core,12,Male,White or of European descent,40,2
6,4,4,8,3,,20000,1,75000,Java;JavaScript;Perl;PHP;Python;TypeScript;HTML;CSS,MongoDB;MySQL;PostgreSQL;SQLite,AWS;Linux;Raspberry Pi;SharePoint,Angular;Django;Hadoop;Node.js;React;Spark,8,Male,White or of European descent,30,2
2,5,2,9,4,STEM,3000,13,110000,C#;CoffeeScript;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server;PostgreSQL,AWS;Azure;Heroku;Linux;Mac OS,.NET Core;Node.js,12,Male,White or of European descent,40,4
,1,,6,4,STEM,20000,4,149000,C++;Go;Python;SQL;HTML;CSS,,Heroku,,12,Male,White or of European descent,30,4
,,1,6,3,STEM,750,10,75000,JavaScript;PHP;SQL;VBA;HTML;CSS,MySQL,,,12,Male,Other,30,2
3,5,4,7,4,STEM,15,25,140000,CoffeeScript;JavaScript;Python;Ruby;SQL;HTML;CSS,Redis;MySQL;PostgreSQL;Elasticsearch,AWS;Heroku;iOS;Linux;Mac OS,Angular;React;Cordova,8,Male,White or of European descent,50,4
2,1,5,8,3,STEM,60,22,148000,C++;Go;JavaScript;Perl;Python;R;Ruby;SQL,MongoDB;MySQL;PostgreSQL;Apache HBase;Apache Hive,Linux,Hadoop;Spark,12,Male,White or of European descent,40,4
5,4,8,10,,,20000,13,150000,C;Go;Java;JavaScript;Python;R;Scala;HTML;CSS;Bash/Shell,"MongoDB;SQL Server;MySQL;PostgreSQL;Apache HBase;Apache Hive;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Arduino;AWS;Salesforce;Firebase,Angular;Django;Cordova;TensorFlow;Torch/PyTorch,12,Male,Other,40,4
,1,3,4,4,STEM,15,1,57000,C;Perl;R;Bash/Shell,MySQL;PostgreSQL;SQLite,Arduino,,12,Male,White or of European descent,30,2
,1,4,6,1,STEM,60,22,92000,C#;PHP;SQL;VBA;HTML;CSS,Redis;SQL Server;PostgreSQL;SQLite,Windows Desktop or Server,,12,Non-Male,White or of European descent,50,3
2,1,4,6,3,STEM,300,7,137000,CoffeeScript;JavaScript;Ruby;SQL;HTML;CSS,MySQL;PostgreSQL;Amazon DynamoDB;Amazon RDS/Aurora,AWS,Django;Node.js,14,Male,White or of European descent,30,4
3,3,6,9,4,STEM,3000,25,150000,Java;JavaScript;PHP;Python;Scala;SQL;HTML;CSS;Bash/Shell,Cassandra;SQL Server;PostgreSQL;Apache Hive;Amazon Redshift;Elasticsearch,AWS;Linux;Mac OS,Django;React;Spark,12,Male,White or of European descent,40,4
1,2,6,10,3,STEM,3000,4,100000,C++;C#;Java;JavaScript;Python;Rust;SQL;TypeScript;HTML;Bash/Shell,Redis;SQL Server;MySQL;PostgreSQL;Memcached;Elasticsearch,Mac OS;Windows Desktop or Server,Spring,14,Male,White or of European descent,30,3
,1,2,5,1,NON-STEM,15,28,106000,JavaScript;SQL;Delphi/Object Pascal;HTML;CSS,SQL Server;MySQL,Windows Desktop or Server,,12,Male,White or of European descent,50,4
5,9,8,13,4,STEM,3000,4,135000,C;C++;Go;Haskell;JavaScript;Matlab;Python;Rust;Swift;TypeScript;HTML;CSS;Bash/Shell,Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;IBM Db2,Android;Arduino;AWS;IBM Cloud or Watson;iOS;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server,Angular;Node.js;React;TensorFlow;Torch/PyTorch,12,Male,White or of European descent,30,4
2,1,2,5,3,STEM,20000,13,115000,Java;Python;Scala;SQL;Bash/Shell,Apache HBase;Apache Hive,Linux,Hadoop;Spark,12,Male,White or of European descent,30,4
1,3,,6,4,STEM,750,7,125000,Java;JavaScript;Python;R;HTML;Bash/Shell,,AWS;Google Cloud Platform/App Engine;Linux,TensorFlow,12,Male,White or of European descent,30,4
1,3,1,7,1,,750,10,64084,C#;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,SQL Server,Azure;Raspberry Pi;Windows Desktop or Server,.NET Core,8,Male,White or of European descent,40,2
,3,5,4,4,NON-STEM,3000,7,117600,Python;R;SQL;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite;Oracle,Linux;Raspberry Pi;Windows Desktop or Server,,8,Male,White or of European descent,30,4
1,,1,7,3,STEM,7500,4,55560,Java;Python;SQL;VB.NET;HTML;CSS;Bash/Shell,SQL Server,,.NET Core,12,Male,Hispanic or Latino/Latina,21,2
